Text,Language
Abanoonyiboobubudamu bonna baasabiddwa beewandiise ewa ssentebe.,Luganda
Baayise olukungaana lw'abanoonyiboobubudamu eggulo.,Luganda
Abanoonyiboobubudamu b'abadde n'obutakkaanya wakati waabwe.,Luganda
Twakubirizibwa okwaniriza abanoonyiboobubudamu mu bitundu byaffe.,Luganda
Bwe tukolera awamu enkulaakulana enyingi efunibwa.,Luganda
Disitulikiti eziriraanye ensalo si ntebenkevu.,Luganda
Abanoonyiboobubudamu batandise okulima okusobola okwebeezaawo.,Luganda
Kimenya mateeka okubeera n'emmundu.,Luganda
Awa nnyo bazadde be kitiibwa.,Luganda
Omusajja anywa nnyo omwenge.,Luganda
Twasomeseddwa ku kwerwanako.,Luganda
Abantu bangi abaakubiddwa amasasi ne bafa.,Luganda
Abantu bangi abafiirwa obulamu bwabwe mu lutalo.,Luganda
Abasajja bateekeddwa okutandika ebibiina ebitereka ensimbi.,Luganda
Ekibiina ekiterekebwamu ensimbi kibeeramu abantu ab'obuwangwa obw'enjawulo.,Luganda
Yakooneddwa loole.,Luganda
Omuvuzi wa loole yakwatiddwa.,Luganda
Omulambo gwe gwatwaliddwa okwekebejebwa.,Luganda
Abanoonyiboobubudamu baagambiddwa okubeera mu bifo bimu.,Luganda
Yafiiridde ku myaka mito nnyo.,Luganda
Bamulekwa banyoleddwa nnyo.,Luganda
Okugulu kwe kwamenyekedde mu kabenje k'emmotoka.,Luganda
Omukulu w'essomero yatugambye tubeere begendereza nga twewandiisa okukola ebibuuzo.,Luganda
Abavuzi b'ebidduka bakubiriziddwa okwewala okuvuga endiima.,Luganda
Yabadde avuga ng'anywedde.,Luganda
Loole yeetaaga okuddaabiriza.,Luganda
Tetulina kwogerera ku ssimu nga tuvuga.,Luganda
Poliisi ekyanoonyereza ekyaviiriddeko omuliro.,Luganda
Poliisi yalemereddwa okuzuula ekyaviiriddeko akabenje.,Luganda
Abantu bangi abaafiiridde mu kabenje.,Luganda
Essomero lyawadde abaana abamu bbasale.,Luganda
Abanoonyiboobubudamu nabo baayingiridde ku bbasale.,Luganda
Waliwo omusomo gw'abasomesa ogugenda mu maaso.,Luganda
Abasinga okukola obulungi bokka beebaaweereddwa sikaala.,Luganda
Amasomero amalala gateekeddwa okuzimbibwa mu bukiikakkono bwa Uganda.,Luganda
Waliwo olukiiko lw'abakozi abatali basomesa.,Luganda
Abayizi bateekeddwa okubeera n'empisa..,Luganda
Omukulu w'essomero yagamba abayizi okukola ennyo.,Luganda
Abazadde baasabiddwa okusasula ebisale by'essomero mu budde.,Luganda
Abayizi abasinga okukola obulungi bajja kusiimibwa.,Luganda
Yanjozaayoza olw'okuwangula sikaala.,Luganda
Abayizi bajja kubuulirirwa nga tebannatuula bibuuzo byabwe.,Luganda
Gavumenti yasasulidde abayizi abamu okusomera ebweru.,Luganda
Abalimi n'abalunzi baweereddwa entandikwa endala.,Luganda
Abantu abasinga bayimirirawo ku bulimi n'obulunzi okubeerawo.,Luganda
Baabadde tebasuubira kisulo kipya kukwata muliro.,Luganda
Abalimi baatendekeddwa ku nnima ez'omulembe.,Luganda
Abanoonyiboobubudamu baaweereddwa obuyambi bw'emmere.,Luganda
Ebiseera bya nkuba.,Luganda
Twawandiikidde gavumenti nga tusaba buyambi.,Luganda
Twaweereddwa amagezi okukozesa engeri empya ez'amasannyalaze.,Luganda
Abantu bangi balwadde omwezi guno.,Luganda
Abanoonyiboobubudamu abamu tebasobola kugenda ku musomo.,Luganda
Abanoonyiboobubudamu baakubiriziddwa okukola ennyo okwekulaakulanya.,Luganda
Abanoonyiboobubudamu abasinga balima ebirime ebitundibwa.,Luganda
Bbaasi eteekeddwa okukanikibwa.,Luganda
Ekitundu kyaguze bbaasi empya.,Luganda
Tukyasonda kugula mmotoka .,Luganda
Abayizi baasabye essomero okugula bbaasi.,Luganda
Abayizi abamu tebasobola bisale bya ntambula buli lunaku kugenda ku ssomero.,Luganda
Baasonze ne bagula bbaasi y'essomero.,Luganda
Abanoonyiboobubudamu abalala basenze mu kitundu eky'omu masekkati.,Luganda
Bbaasi y'essomero ya mugaso nnyo.,Luganda
Yawadde obujulizi mu kaseera k'okusaba mu kkanisa.,Luganda
Sitambulangako ku lugendo luwanvu.,Luganda
Saasondera mukolo guno.,Luganda
Yasiimye abakulembeze olw'omulimu omulungi.,Luganda
Tetunnalonda bakulembeze bapya.,Luganda
Ffenna yatusabye tumusondere ku ssente.,Luganda
Ekisaawe ky'ebyenjigiriza kya nkizo nnyo.,Luganda
Waliwo emisango gy'ettaka mingi.,Luganda
Abaana bateekeddwa okutendekebwa obutalwana.,Luganda
Abantu bangi abaafiiridde mu bwegugungo obwakayita.,Luganda
Abaana bangi batulugunyizibwa bazadde babwe.,Luganda
Waabaddewo olutuula lwa kkooti okugonjoola enkaayana z'ettaka.,Luganda
Mutabani wange ajja kusikira ettaka lyange.,Luganda
Omusumba yagaanye abavubuka okukozesa ebiragalalagala,Luganda
Ettaka lye lyabbibwa omwami eyawasamaama we.,Luganda
Ffenna twasabibwa okuwandiisa ettaka lyaffe.,Luganda
Tebannagonjoola nkaayana za ttaka.,Luganda
Ssentebe yatusabye tusisinkane tugonjoole ensonga.,Luganda
Yatiddwa mutabani we.,Luganda
Abantu beetaaga okusomesebwa ku bwannannyini bw'ettaka.,Luganda
Amasomero gasabye gavumenti okubawa obuyambi bw'emmere.,Luganda
Okutambuza abayizi kwanguyiziddwa.,Luganda
Buli muyizi yasonze eri okuzimbibwa kw'ekibiina ekipya.,Luganda
Bbaasa yasomye embalirira y'essomero.,Luganda
Abaganyulwa mu pulojekiti okusinga bayizi.,Luganda
Twakubirizibwa okukozesa mu bujjuvu ebintu byonna ebiriwo nga tuli ku ssomero.,Luganda
Abazadde abasinga obungi baagaanye okusonda ssente z'okugula bbaasi y'essomero.,Luganda
Essomero libanjibwa nnyo,Luganda
Abakulembeze baayiibwa nnyo bazadde.,Luganda
Minisita yawaddeyo ssente mu kuzimba ekizimbe ekipya.,Luganda
